data_date,individuals,first of year
1/15/2012,9500,
2/29/2012,10658,
4/18/2012,23955,
4/23/2012,23702,
4/26/2012,23343,
5/2/2012,23298,
5/7/2012,23011,
5/21/2012,22778,
6/1/2012,24433,
6/4/2012,26281,
6/12/2012,27405,
6/22/2012,32134,
6/25/2012,32380,
6/26/2012,33079,
7/4/2012,35099,
7/5/2012,35565,
7/12/2012,37353,
7/20/2012,42682,
7/23/2012,43387,
7/31/2012,44188,
8/1/2012,44038,
8/8/2012,46294,
8/9/2012,47053,
8/10/2012,50227,
8/14/2012,59710,
8/15/2012,61450,
8/22/2012,69828,
8/23/2012,74112,
8/27/2012,78409,
8/30/2012,80410,
9/10/2012,78431,
9/12/2012,80104,
9/17/2012,80177,
9/20/2012,83260,
9/24/2012,84084,
9/27/2012,87774,
10/4/2012,93576,
10/8/2012,96397,
10/18/2012,100363,
10/22/2012,101834,
11/2/2012,107769,
11/5/2012,110649,
11/7/2012,111890,
11/12/2012,112883,
11/14/2012,114944,
11/19/2012,120147,
11/26/2012,123747,
12/6/2012,135519,
12/10/2012,136319,
12/11/2012,136810,
12/13/2012,137756,
12/17/2012,141240,
12/21/2012,142670,
12/24/2012,144755,
1/1/2013,148441,
1/6/2013,150906,
1/14/2013,153307,
1/16/2013,154705,
1/22/2013,156801,
1/28/2013,163161,
2/4/2013,170643,
2/5/2013,170700,
2/6/2013,177180,
2/7/2013,177914,
2/11/2013,177387,
2/13/2013,180373,
2/14/2013,181729,
2/15/2013,182621,
2/25/2013,183846,
2/26/2013,184513,
2/27/2013,184585,
3/1/2013,185205,
3/5/2013,185982,
3/9/2013,258200,
3/15/2013,260341,
3/18/2013,260356,
3/22/2013,261635,
4/5/2013,293761,
4/8/2013,293761,
4/17/2013,291996,
4/22/2013,313232,
4/23/2013,313679,
4/24/2013,314337,
4/25/2013,313689,
4/26/2013,313872,
4/29/2013,316195,
4/30/2013,315923,
5/1/2013,316464,
5/2/2013,322609,
5/3/2013,322407,
5/6/2013,324770,
5/7/2013,322845,
5/8/2013,324731,
5/9/2013,325050,
5/10/2013,326555,
5/13/2013,329466,
5/14/2013,329714,
5/15/2013,347157,
5/16/2013,347157,
5/17/2013,347815,
5/20/2013,350736,
5/21/2013,350804,
5/22/2013,350991,
5/23/2013,350989,
5/24/2013,350797,
5/27/2013,376631,
5/28/2013,376884,
5/29/2013,377154,
5/30/2013,377154,
5/31/2013,372932,
6/3/2013,372326,
6/5/2013,381206,
6/10/2013,380420,
6/11/2013,380650,
6/17/2013,388935,
6/18/2013,388348,
6/19/2013,386927,
6/20/2013,387883,
6/26/2013,399736,
7/4/2013,398753,
7/8/2013,402189,
7/9/2013,402176,
7/12/2013,402163,
7/15/2013,412789,
7/16/2013,412789,
7/17/2013,413867,
7/18/2013,413867,
7/19/2013,413854,
7/22/2013,428198,
7/23/2013,428246,
7/26/2013,428227,
7/30/2013,431167,
7/31/2013,431081,
8/5/2013,434814,
8/12/2013,433971,
8/14/2013,434567,
8/15/2013,434576,
8/19/2013,440742,
8/20/2013,440757,
8/21/2013,440768,
8/22/2013,440773,
8/27/2013,458837,
8/29/2013,459207,
9/2/2013,463885,
9/16/2013,492687,
9/17/2013,492683,
9/18/2013,492709,
9/19/2013,492716,
9/24/2013,494330,
9/26/2013,494361,
10/1/2013,500237,
10/4/2013,500273,
10/7/2013,502827,
10/9/2013,502703,
10/10/2013,504415,
10/11/2013,504419,
10/21/2013,502737,
10/22/2013,502719,
10/23/2013,502743,
10/24/2013,502730,
10/25/2013,506530,
10/29/2013,506532,
10/31/2013,506551,
11/2/2013,510789,
11/4/2013,510826,
11/5/2013,512070,
11/6/2013,513157,
11/7/2013,513090,
11/8/2013,535993,
11/11/2013,516454,
11/12/2013,516383,
11/15/2013,516206,
11/17/2013,519938,
11/19/2013,521493,
11/20/2013,521493,
11/21/2013,522111,
11/27/2013,527223,
11/28/2013,527307,
11/30/2013,536371,
12/3/2013,536619,
12/4/2013,536663,
12/5/2013,536765,
12/8/2013,539681,
12/9/2013,539521,
12/10/2013,539796,
12/11/2013,540350,
12/12/2013,539761,
12/16/2013,553281,
12/17/2013,553151,
12/18/2013,553116,
12/19/2013,553508,
12/22/2013,554858,
12/24/2013,556094,
12/25/2013,557342,
12/29/2013,560428,
12/31/2013,560129,
1/1/2014,559994,559994
1/5/2014,565423,
1/6/2014,565444,
1/7/2014,565508,
1/8/2014,565776,
1/9/2014,566134,
1/10/2014,569199,
1/12/2014,571064,
1/13/2014,571513,
1/14/2014,571512,
1/15/2014,571684,
1/16/2014,571627,
1/19/2014,577313,
1/20/2014,577349,
1/22/2014,577936,
1/23/2014,577937,
1/26/2014,580119,
1/27/2014,580419,
1/28/2014,580542,
1/29/2014,580304,
1/30/2014,580756,
2/2/2014,593830,
2/3/2014,594397,
2/4/2014,594827,
2/5/2014,594854,
2/6/2014,595055,
2/9/2014,602662,
2/10/2014,602744,
2/12/2014,602739,
2/13/2014,603289,
2/16/2014,612502,
2/17/2014,612570,
2/18/2014,612535,
2/19/2014,612826,
2/20/2014,613393,
2/23/2014,619593,
2/24/2014,619642,
2/25/2014,619523,
2/26/2014,619356,
2/27/2014,619470,
2/28/2014,624308,
3/2/2014,624248,
3/3/2014,624415,
3/4/2014,624539,
3/5/2014,624666,
3/6/2014,624465,
3/9/2014,634344,
3/10/2014,634147,
3/11/2014,634901,
3/12/2014,634788,
3/13/2014,634882,
3/16/2014,642867,
3/17/2014,641771,
3/18/2014,641889,
3/19/2014,641906,
3/20/2014,642482,
3/23/2014,647379,
3/24/2014,647894,
3/25/2014,648909,
3/26/2014,649161,
3/27/2014,649302,
3/30/2014,667499,
3/31/2014,667496,
4/1/2014,667556,
4/2/2014,667636,
4/3/2014,667448,
4/5/2014,680377,
4/6/2014,679753,
4/7/2014,679910,
4/8/2014,679843,
4/9/2014,679697,
4/13/2014,713437,
4/14/2014,713092,
4/15/2014,712911,
4/16/2014,712555,
4/20/2014,715306,
4/21/2014,715215,
4/23/2014,714733,
4/24/2014,714552,
4/25/2014,722521,
4/26/2014,722055,
4/28/2014,722234,
4/29/2014,722216,
4/30/2014,735864,
5/1/2014,735618,
5/4/2014,735888,
5/5/2014,736040,
5/6/2014,736087,
5/7/2014,736137,
5/8/2014,736296,
5/11/2014,742816,
5/12/2014,743021,
5/13/2014,743277,
5/15/2014,743008,
5/19/2014,747735,
5/20/2014,748066,
5/21/2014,747909,
5/22/2014,747803,
5/25/2014,761779,
5/26/2014,761674,
5/27/2014,761206,
5/28/2014,761274,
5/29/2014,761297,
5/31/2014,761171,
6/1/2014,765560,
6/2/2014,765369,
6/3/2014,765113,
6/4/2014,764820,
6/5/2014,764798,
6/8/2014,774635,
6/9/2014,774252,
6/10/2014,774198,
6/11/2014,773864,
6/12/2014,773935,
6/15/2014,783163,
6/17/2014,783410,
6/18/2014,783044,
6/19/2014,783065,
6/22/2014,789469,
6/23/2014,789219,
6/24/2014,789613,
6/25/2014,789678,
6/26/2014,789750,
6/29/2014,795524,
6/30/2014,795442,
7/1/2014,795524,
7/2/2014,795726,
7/3/2014,795924,
7/6/2014,799291,
7/7/2014,799468,
7/8/2014,799521,
7/9/2014,799457,
7/10/2014,799410,
7/13/2014,805343,
7/14/2014,805308,
7/15/2014,805066,
7/16/2014,804602,
7/17/2014,804391,
7/20/2014,808931,
7/21/2014,808611,
7/22/2014,808589,
7/23/2014,808600,
7/24/2014,808576,
7/29/2014,813862,
7/30/2014,813860,
7/31/2014,815413,
8/3/2014,815065,
8/4/2014,815251,
8/5/2014,815088,
8/6/2014,814907,
8/7/2014,814212,
8/10/2014,822145,
8/11/2014,822499,
8/12/2014,822128,
8/13/2014,821635,
8/14/2014,822149,
8/17/2014,824454,
8/18/2014,824678,
8/19/2014,824766,
8/20/2014,824851,
8/21/2014,825012,
8/22/2014,831843,
8/25/2014,832508,
9/2/2014,840171,
9/3/2014,840009,
9/4/2014,840217,
9/7/2014,843779,
9/8/2014,844162,
9/9/2014,843728,
9/10/2014,843465,
9/11/2014,843625,
9/14/2014,847266,
9/29/2014,1029500,
10/2/2014,1065902,
10/31/2014,1097740,
11/30/2014,1165279,
12/31/2014,1622839,
3/6/2015,1698472,1698472
3/7/2015,1698472,
3/13/2015,1718147,
3/20/2015,1738448,
3/31/2015,1741374,
4/10/2015,1758092,
4/30/2015,1759546,
5/4/2015,1759846,
5/21/2015,1761361,
5/26/2015,1761486,
6/15/2015,1772535,
7/9/2015,1805255,
8/25/2015,1938999,
10/2/2015,2072290,
11/3/2015,2181293,
12/10/2015,2291900,
12/31/2015,2503549,
2/15/2016,2620553,2620553
2/29/2016,2688686,
3/3/2016,2715789,
4/11/2016,2749140,
5/2/2016,2749862,
5/5/2016,2748367,
5/19/2016,2744915,
6/2/2016,2743497,
6/16/2016,2739326,
6/23/2016,2733850,
6/30/2016,2733044,
7/28/2016,2728986,
8/11/2016,2724937,
8/25/2016,2726980,
9/26/2016,2733655,
10/19/2016,2753696,
11/3/2016,2764500,
12/8/2016,2790767,
12/22/2016,2814631,
1/12/2017,2854968,2854968
2/9/2017,2896633,
2/16/2017,2910281,
3/9/2017,2957454,
3/23/2017,2967149,
3/30/2017,2969669,
4/6/2017,2973980,
4/27/2017,2992567,
6/15/2017,3049879,
7/6/2017,3079914,
7/27/2017,3106932,
9/7/2017,3168757,
9/14/2017,3184600,
9/28/2017,3181537,
9/29/2017,3208131,
10/5/2017,3222000,
10/12/2017,3235992,
10/19/2017,3251997,
11/2/2017,3285533,
11/9/2017,3303113,
11/16/2017,3320814,
11/30/2017,3359915,
12/7/2017,3381005,
12/14/2017,3400195,
12/21/2017,3412368,
12/28/2017,3424237,
1/25/2018,3466263,3466263
2/1/2018,3485644,
2/8/2018,3506532,
2/15/2018,3523981,
2/22/2018,3531416,
3/1/2018,3540648,
3/8/2018,3547194,
3/15/2018,3554496,
3/22/2018,3561707,
3/29/2018,3567130,
4/5/2018,3572565,
4/12/2018,3578246,
4/19/2018,3584179,
4/26/2018,3588877,
5/10/2018,3586679,
5/17/2018,3593864,
5/24/2018,3589384,
5/31/2018,3583434,
6/7/2018,3579254,
6/13/2018,3576337,
6/21/2018,3570352,
6/28/2018,3562523,
7/5/2018,3554072,
7/12/2018,3546905,
7/19/2018,3541572,
7/26/2018,3533822,
8/2/2018,3542250,
8/9/2018,3545293,
8/16/2018,3548273,
8/29/2018,3552303,
9/6/2018,3555464,
9/13/2018,3559262,
9/21/2018,3564919,
9/27/2018,3567658,
10/4/2018,3577752,
10/11/2018,3585738,
10/18/2018,3587930,
10/25/2018,3589327,
11/1/2018,3596337,
11/8/2018,3594232,
11/15/2018,3597938,
11/22/2018,3603888,
11/29/2018,3607563,
12/6/2018,3598186,
12/20/2018,3618624,
12/27/2018,3622366,
